"deimos"

modified from the shape model of P. Thomas and
colleagues at Cornell.

long, lat, radius (km)
125,-25,6.2679
125,-20,6.3199
125,-15,6.358
125,-10,6.4192
125,-5,6.5064
125,0,6.5828
125,5,6.6465
125,10,6.7019
125,15,6.7593
125,20,6.7592
125,25,6.6768
125,30,6.5319
125,35,6.3873
125,40,6.261
125,45,6.1728
125,50,6.1128
125,55,6.0407
125,60,5.9409
125,65,5.8473
125,70,5.7726
125,75,5.7208
125,80,5.6842
125,85,5.654
125,90,5.6326
130,-90,3.9545
130,-85,3.946
130,-80,3.9271
130,-75,3.8758
130,-70,3.9108
130,-65,4.0715
130,-60,4.3192
130,-55,4.7184
130,-50,5.204
130,-45,5.5647
130,-40,5.8531
130,-35,6.1094
130,-30,6.2798
130,-25,6.3669
130,-20,6.3819
130,-15,6.4085
130,-10,6.4595
130,-5,6.5349
130,0,6.6144
130,5,6.6802
130,10,6.7413
130,15,6.7995
130,20,6.8014
130,25,6.7175
130,30,6.5781
130,35,6.4423
130,40,6.3303
130,45,6.2541
130,50,6.1887
130,55,6.091
130,60,5.9629
130,65,5.8379
130,70,5.7499
130,75,5.6982
130,80,5.6698
130,85,5.6489
130,90,5.6326
135,-90,3.9545
135,-85,3.9383
135,-80,3.9113
135,-75,3.8528
135,-70,3.8824
135,-65,4.0413
135,-60,4.2854
135,-55,4.6693
135,-50,5.1331
135,-45,5.5188
135,-40,5.8684
135,-35,6.156
135,-30,6.3824
135,-25,6.4627
135,-20,6.4709
135,-15,6.4751
135,-10,6.5097
135,-5,6.5923
135,0,6.675
135,5,6.742
135,10,6.8016
135,15,6.8488
135,20,6.8415
135,25,6.7557
135,30,6.6224
135,35,6.4943
135,40,6.3889
135,45,6.3132
135,50,6.2352
135,55,6.1147
135,60,5.9608
135,65,5.816
135,70,5.7194
135,75,5.6719
135,80,5.653
135,85,5.6433
135,90,5.6326
140,-90,3.9545
140,-85,3.9306
140,-80,3.894
140,-75,3.8417
140,-70,3.8691
140,-65,4.0199
140,-60,4.2679
140,-55,4.6246
140,-50,5.0318
140,-45,5.4343
140,-40,5.8254
140,-35,6.1998
140,-30,6.4671
140,-25,6.5755
140,-20,6.5665
140,-15,6.5579
140,-10,6.5959
140,-5,6.6687
140,0,6.755
140,5,6.8158
140,10,6.8607
140,15,6.8874
140,20,6.8667
140,25,6.7821
140,30,6.6575
140,35,6.5356
140,40,6.4279
140,45,6.3404
140,50,6.2446
140,55,6.1049
140,60,5.9307
140,65,5.7781
140,70,5.6817
140,75,5.6423
140,80,5.6353
140,85,5.6385
140,90,5.6326
145,-90,3.9545
145,-85,3.9183
145,-80,3.8734
145,-75,3.8099
145,-70,3.8738
145,-65,4.0577
145,-60,4.2439
145,-55,4.5629
145,-50,4.9345
145,-45,5.3488
145,-40,5.7867
145,-35,6.2295
145,-30,6.5471
145,-25,6.6839
145,-20,6.6898
145,-15,6.6823
145,-10,6.7121
145,-5,6.7841
145,0,6.8608
145,5,6.9097
145,10,6.9326
145,15,6.9292
145,20,6.8882
145,25,6.7974
145,30,6.6794
145,35,6.5602
145,40,6.4419
145,45,6.3359
145,50,6.2151
145,55,6.058
145,60,5.8781
145,65,5.7276
145,70,5.6422
145,75,5.612
145,80,5.6177
145,85,5.633
145,90,5.6326
150,-90,3.9545
150,-85,3.9059
150,-80,3.8494
150,-75,3.777
150,-70,3.8569
150,-65,4.0243
150,-60,4.2586
150,-55,4.4905
150,-50,4.8544
150,-45,5.2809
150,-40,5.7546
150,-35,6.2438
150,-30,6.6228
150,-25,6.797
150,-20,6.8479
150,-15,6.8365
150,-10,6.864
150,-5,6.9244
150,0,6.9897
150,5,7.023
150,10,7.0194
150,15,6.9819
150,20,6.9075
150,25,6.8065
150,30,6.683
150,35,6.5608
150,40,6.4312
150,45,6.302
150,50,6.1562
150,55,5.9859
150,60,5.8153
150,65,5.6772
150,70,5.605
150,75,5.5859
150,80,5.6011
150,85,5.6262
150,90,5.6326
155,-90,3.9545
155,-85,3.8909
155,-80,3.8214
155,-75,3.7622
155,-70,3.8335
155,-65,3.9919
155,-60,4.2253
155,-55,4.4767
155,-50,4.8037
155,-45,5.2105
155,-40,5.7078
155,-35,6.3174
155,-30,6.7408
155,-25,6.958
155,-20,7.0087
155,-15,7.0129
155,-10,7.0381
155,-5,7.0893
155,0,7.1375
155,5,7.1512
155,10,7.141
155,15,7.0639
155,20,6.926
155,25,6.7965
155,30,6.6599
155,35,6.5296
155,40,6.3943
